"Mountain"	"Elevation"	"Latitude"	"Longitude"
"Sněžka"	1603.0	50.736016666666664	15.739666666666666
"Praděd"	1491.0	50.08306666666667	17.230966666666667
"Lysá hora"	1324.0	49.54598333333333	18.447283333333335
"Klínovec"	1244.0	50.396433333333334	12.96765
"Králický Sněžník"	1423.0	50.2075	16.84755
"Milešovka"	837.0	50.5548	13.9314
"Smrk"	1277.0	49.50821666666667	18.370516666666667
"Velká Deštná"	1116.0	50.30161666666667	16.39785
"Velká Javořina"	970.0	48.857816666666665	17.67565
"Čerchov"	1042.0	49.38335	12.7837
"Ještěd"	1012.0	50.732616666666665	14.98505
"Kněhyně"	1257.0	49.49678333333333	18.313
"Plechý"	1378.0	48.7713	13.857283333333333
"Travný"	1204.0	49.561616666666666	18.50715
"Skalka"	964.0	49.55286666666667	18.3009
"Suchý vrch"	995.0	50.05081666666667	16.69345
"Knížecí stolec"	1236.0	48.846916666666665	14.020183333333334
"Kleť"	1087.0	48.86526666666666	14.283433333333333
"Lesný"	983.0	50.03525	12.616
"Sedlo"	726.0	50.59316666666667	14.263916666666667
"Studniční vrch"	992.0	50.258	17.166533333333334
"Keprník"	1423.0	50.17095	17.1164
"Jeřáb"	1003.0	50.056783333333335	16.81295
"Velký Lopeník"	911.0	48.916783333333335	17.78255
"Kelčský Javorník"	865.0	49.40031666666667	17.7658
"Boubín"	1362.0	48.99125	13.817366666666667
"Luž"	793.0	50.849066666666666	14.64675
"Velký Javorník"	918.0	49.527233333333335	18.160883333333334
"Ralsko"	696.0	50.67423333333333	14.765933333333333
"Královecký Špičák"	881.0	50.657516666666666	15.988516666666667
"Děvín"	550.0	48.869416666666666	16.650083333333335
"Dyleň"	940.0	49.96791666666667	12.5028
"Vysoké Kolo"	1509.0	50.776916666666665	15.56775
"Skalky"	735.0	49.501533333333334	16.789783333333332
"Růžovský vrch"	619.0	50.832966666666664	14.330216666666667
"Tok"	865.0	49.704166666666666	13.876833333333334
"Hochficht"	1338.0	48.7366	13.92125
"Devět skal"	836.0	49.67073333333333	16.032266666666665
"Ropice"	1083.0	49.597	18.58665
"Smrk"	1126.0	50.22951666666667	17.033933333333334
"Velká Čantoryje"	995.0	49.67885	18.8046
"Jezerní hora"	1344.0	49.16866666666667	13.1842
"Javořice"	837.0	49.22096666666667	15.33955
"Brdo"	587.0	49.17105	17.30913333333333
"Červený kámen"	695.0	49.575	18.154666666666667
"Bezděz"	606.0	50.53921666666667	14.7205
"Medvědí vrch"	1216.0	50.15978333333333	17.312
"Kozákov"	744.0	50.59381666666667	15.2638
"Hradiště"	934.0	50.2177	13.126533333333333
"Libín"	1094.0	48.97886666666667	14.011833333333334
"Vlhošť"	614.0	50.602516666666666	14.454083333333333
"Tlustec"	591.0	50.725966666666665	14.74395
"Plesná"	1338.0	49.105	13.312666666666667
"Radeč"	721.0	49.822966666666666	13.6662
"Můstek"	1235.0	49.20215	13.246633333333333
"Lovoš"	570.0	50.527566666666665	14.017983333333333
"Příčný vrch"	975.0	50.21938333333333	17.383733333333332
"Jezevčí vrch"	665.0	50.79095	14.704516666666667
"Kyčera"	990.0	49.595333333333336	18.839199999999998
"Velký Polom"	1067.0	49.50606666666667	18.671
"Čáp"	786.0	50.57458333333334	16.124166666666667
"Stožec"	1065.0	48.88046666666666	13.827666666666667
"Klášťov"	753.0	49.20588333333333	17.943733333333334
"Oldřichovský Špičák"	724.0	50.86445	15.074083333333334
"Vítkův kámen"	1035.0	48.64495	14.103266666666666
"Poluška"	919.0	48.75391666666667	14.4197
"Ucháč"	1009.0	50.09308333333333	17.047983333333335
"Svatobor"	845.0	49.2355	13.487416666666666
"Koráb"	776.0	49.3916	13.082699999999999
"Borůvková hora"	899.0	50.390483333333336	16.902183333333333
"Černá studnice"	869.0	50.7116	15.233783333333333
"Javorník"	783.0	49.0274	17.995466666666665
"Říp"	461.0	50.38653333333333	14.289616666666667
"Jizera"	1122.0	50.83385	15.25955
"Buková hora"	683.0	50.67178333333333	14.2274
"Kubánkov"	660.0	49.6328	18.264433333333333
"Petřkovická hora"	608.0	49.545683333333336	17.96555
"Vaňovský vrch"	561.0	50.6144	14.059583333333334
"Loučná"	956.0	50.6486	13.61035
"Velký Mehelník"	633.0	49.29451666666667	14.22445
"Gírová"	840.0	49.53168333333333	18.800016666666668
"Hradišťany"	752.0	50.50748333333333	13.870283333333333
"Hvozd"	749.0	50.822433333333336	14.726316666666667
"Kletečná"	706.0	50.56705	13.9729
"Makyta"	923.0	49.26091666666667	18.16315
"Přimda"	848.0	49.68268333333333	12.6684
"Stráně"	664.0	49.1204	17.99535
"Kaliště"	993.0	48.65646666666667	14.209633333333333
"Vysoká"	1024.0	49.40396666666667	18.3609
"Komonec"	672.0	49.15668333333333	17.77335
"Vrchovina"	677.0	50.593783333333334	14.14
"Javorský vrch"	617.0	50.73166666666667	14.114466666666667
"Jedlová"	774.0	50.8566	14.559866666666666
"Bořeň"	539.0	50.5277	13.763883333333334
"Oblík"	509.0	50.41138333333333	13.808533333333333
"Černá hora"	1300.0	50.65245	15.7421
"Jelení loučky"	1205.0	50.1462	17.266166666666667
"Černá stráň"	1237.0	50.12165	17.077666666666666
"Vysoká"	1035.0	48.71491666666667	14.738583333333333
