"Summit"	"Elevation"	"Latitude"	"Longitude"
"Gerlachovský štít"	2655	49.1640319	20.1340594
"Ďumbier"	2043	48.93611111111111	19.641666666666666
"Babia hora (Diablak)"	1725	49.5730217	19.5293308
"Veľký Kriváň"	1709	49.1875	19.030555555555555
"Veľká lúka"	1476	49.09027777777778	18.81388888888889
"Veľký Choč"	1611	49.15138888888889	19.341666666666665
"Šimonka"	1092	48.94444444444444	21.466666666666665
"Kraľová hoľa"	1946	48.88333333333333	20.13888888888889
"Pilsko"	1557	49.52777777777778	19.316666666666666
"Vtáčnik"	1346	48.625	18.634722222222223
"Poľana"	1458	48.6375	19.483333333333334
"Vihorlat"	1076	48.891666666666666	22.11388888888889
"Inovec Považský"	1042	48.775	18.041666666666668
"Ostredok"	1592	48.90138888888889	19.079166666666666
"Vetrová skala"	1025	48.77916666666667	22.36388888888889
"Javorie"	1044	48.44166666666666	19.290277777777778
"Čierna hora Levočská"	1289	49.19305555555555	20.625
"Veľký Milič (Nagy Milic)"	895	48.57638888888889	21.458333333333332
"Veľká Javorina Bielokarpatská"	970	48.858333333333334	17.67638888888889
"Sitno"	1009	48.40277777777778	18.87638888888889
"Minčol Čergovský"	1157	49.233333333333334	20.98888888888889
"Bystrá"	2248	49.189166666666665	19.844444444444445
"Šip"	1170	49.165277777777774	19.179166666666667
"Salašiská"	1132	48.65972222222222	19.997222222222224
"Minčol Oravský"	1396	49.270833333333336	19.25
"Karanč"	725	48.15833333333333	19.78888888888889
"Roháčka"	1029	48.92361111111111	21.0125
"Fabova hoľa"	1439	48.77222222222222	19.88611111111111
"Veľký bok"	1727	48.94305555555555	19.87777777777778
"Kraľovanská Kopa"	1187	49.1375	19.1375
"Stražov"	1213	48.955555555555556	18.4625
"Stolica"	1476	48.77361111111111	20.206944444444442
"Stinská (Stynka)"	1090	49.00555555555555	22.544444444444448
"Zlatý stôl"	1322	48.766666666666666	20.655555555555555
"Kojšovská hoľa"	1246	48.78194444444444	20.98888888888889
"Prosečné"	1372	49.175	19.51388888888889
"Klenovský vepor"	1338	48.68888888888888	19.769444444444442
"Záruby"	767	48.52361111111111	17.391666666666666
"Lubená"	1414	48.93194444444444	18.980555555555554
"Lomnický štít"	2634	49.1951431	20.2130328
"Štít"	851	48.65277777777778	20.41111111111111
"Magura Stražovská"	1141	48.86666666666667	18.529166666666665
"Flochová"	1317	48.80833333333333	18.980833333333333
"Veľký Rozsutec"	1610	49.231944444444444	19.09861111111111
"Zvolen"	1403	48.890277777777776	19.223611111111108
"Smrekovica Branická"	1200	49.045833333333334	20.872222222222224
"Kečky"	1139	49.125	19.241666666666667
"Poludnica"	1549	49.020833333333336	19.633333333333333
"Suchý vrch Stražovský"	1028	48.84027777777778	18.419444444444444
"Budin"	1222	49.34444444444445	19.452777777777776
"Turecká"	953	48.68472222222222	20.479166666666664
"Ohniste"	1538	48.975	19.708333333333332
"Kľak Muránsky"	1410	48.77916666666667	19.966666666666665
"Havran"	2152	49.248333333333335	20.199166666666667
"Kľak Lúčanský"	1352	48.980555555555554	18.640277777777776
"Veľký Lopeník"	911	48.916666666666664	17.781944444444445
"Veľký Manín"	891	49.125	18.495833333333334
"Kriváň"	2494	49.1628333	20.000045
"Salatin"	1630	48.980555555555554	19.3625
"Bukovec"	1127	48.84722222222222	20.72083333333333
"Chmeľová"	925	49.07361111111111	18.154166666666665
"Veľka Rača (W. Racza)"	1236	49.4125	19.968055555555555
"Veľký Javornik"	1072	49.31944444444445	18.372222222222224
"Bogota"	856	48.70138888888889	21.516666666666666
"Sľubica"	1129	48.97361111111111	20.872222222222224
"Stoh"	1607	49.212500000000006	19.093055555555555
"Skorušina"	1314	49.30138888888889	19.691666666666666
"Sinec"	917	48.55416666666667	19.916666666666668
"Busov"	1002	49.3875	21.162499999999998
"Makovica"	981	48.85277777777778	21.491666666666667
"Veľký Tribeč"	830	48.46944444444445	18.240277777777777
"Babiná"	1278	48.82916666666667	20.4625
"Baranec"	2184	49.174166666666665	19.7425
"Ostrá Veporská"	1011	48.625	19.916666666666668
"Chlieviská (Sokol)"	1024	48.958333333333336	18.761111111111113
"Hradisko"	708	48.6625	21.458333333333332
"Žibrid"	867	49.12777777777778	18.609722222222224
"Hrčova Kečka"	1226	49.24444444444445	19.18611111111111
"Lacková (Lackowa)"	998	49.42638888888889	21.102777777777778
"Veľký Polom"	1067	49.49444444444445	18.675
"Svinica (Świnica)"	2301	49.22027777777778	20.011111111111113
"Stráž Košická"	740	49.06388888888888	21.255555555555556
"Lomné Chočské"	1278	49.170833333333334	19.47083333333333
"Havrania skala"	835	49.141666666666666	18.55
"Ostré Šipské"	1067	49.13611111111111	19.209722222222222
"Kobylinec"	912	49.11944444444445	18.165277777777778
"Magura Chočská"	1171	49.15833333333333	19.38611111111111
"Boboty"	1086	49.24305555555556	19.055555555555557
"Kopec"	1251	49.24305555555556	19.547222222222224
"Pokryvy"	888	48.831944444444446	21.133333333333333
"Veľká Kamenistá"	2127	49.1957969	19.8694558
"Čapkovo"	1244	49.0125	19.748611111111114
"Veľký Radzim"	999	48.77777777777778	20.33888888888889
"Skalka Štiavnická"	882	48.455555555555556	18.994444444444447
"Veľký Inovec Pohronský"	901	48.40972222222222	18.544444444444448
"Ľadohora"	999	49.29861111111111	18.895833333333332
"Stráne"	837	49.043055555555554	18.5125
"Suchá hora Stražovská"	986	48.925	18.355555555555558
"Kozí kameň"	1255	49.016666666666666	20.162499999999998
"Rokoš"	1010	48.770833333333336	18.434722222222224
"Kresanica (Krzesanica)"	2122	49.23083333333334	19.91
"Bachureň"	1082	49.09027777777778	20.922222222222224
"Veľká Knola"	1266	48.86388888888889	20.47222222222222
"Kozia skala"	1202	48.961111111111116	18.994444444444447
"Stredný gruň"	801	49.03333333333333	22.3
"Šiator"	660	48.17638888888889	19.841666666666665
"Veterný vrch"	1111	49.336111111111116	20.509722222222223
"Hoľazne"	901	48.92916666666667	18.283333333333335
"Železník"	814	48.62083333333334	20.130555555555556
"Vysoká Bielokarpatská"	754	48.416666666666664	17.216666666666665
"Devinska Kobyla"	514	48.18888888888888	16.993055555555557
"Rakytov"	1567	48.961111111111116	19.179166666666667
"Haľagoš"	642	49.10138888888889	21.37777777777778
"Butkov"	765	49.02222222222222	18.331944444444446
"Jarabá skala (Rabia Skała)"	1199	49.10277777777778	22.440277777777776
"Vysoká Tatranská"	2547	49.17333333333333	20.09638888888889
"Lysec"	1381	48.99722222222222	19.068055555555556
"Ľadový štít"	2627	49.1985453	20.1827653
"Vápenná"	752	48.459722222222226	17.27361111111111
"Veľká Javorina Čergovská"	1099	49.198611111111106	21.147222222222222
"Čebrat'"	1054	49.10138888888889	19.279166666666665
"Kurčinska Magura"	894	49.31527777777777	20.87361111111111
"Malý Manín"	813	49.14861111111111	18.506944444444443
"Magura Oravská (M. Witowska)"	1232	49.295833333333334	19.794444444444448
"Hrubá Kačka"	1037	48.983333333333334	18.5125
"Veľká Chochuľa"	1753	48.893055555555556	19.330555555555556
"Bradavica"	2476	49.17111111111111	20.1575
"Kľak Velkofatranský"	1394	49.045833333333334	19.111111111111114
"Homôľka"	1073	48.956944444444446	18.60138888888889
"Hajdošik"	921	49.06944444444445	22.341666666666665
"Javorina Busovská (Jaworzyna)"	881	49.447222222222216	21.2625
"Veľká Vápenica"	1691	48.913888888888884	19.981944444444444
"Chopok"	2024	48.94305555555555	19.58888888888889
"Krakova hoľa"	1752	48.983333333333334	19.633333333333333
"Drieňok"	1268	48.890277777777776	18.961111111111112
"Vysoká Poľanská"	994	48.75555555555555	19.380555555555556
"Stolová"	934	49.044444444444444	22.398611111111112
"Klapy"	654	49.1625	18.425
"Baníkov"	2178	49.19833333333333	19.711944444444445
"Ostrá Malenica"	909	49.02222222222222	18.405555555555555
"Salásšky"	588	48.765277777777776	17.77361111111111
"Hradová"	887	48.68194444444444	19.92361111111111
"Čierna hora Ondavská"	667	49.30277777777778	21.508333333333333
"Žalostiná"	621	48.81666666666667	17.42638888888889
"Jakubina"	2194	49.193888888888885	19.803055555555556
"Sokolie"	1172	49.236111111111114	19.01527777777778
"Oblík"	925	48.97361111111111	21.47222222222222
"Tlstá"	685	48.87916666666667	21.1875
